STATEFIP,intensity,headcount,State,Medicaid_Expansion,adj_hc
1,0.4495919839926704,0.17341379742534388,Alabama,0,0.0779654532361634
2,0.4201646669716055,0.11546493109724389,Alaska,NA,0.04851428432137285
4,0.44221573894803584,0.16528035395093632,Arizona,1,0.07308957385600622
5,0.4419332697005792,0.17213864463280554,Arkansas,1,0.07607379406440182
6,0.4445555700188676,0.16249716629158936,California,1,0.07223902038720822
8,0.4330020345344946,0.10337860349735933,Colorado,1,0.04476314564169141
9,0.44021009707211456,0.1125758378294382,Connecticut,1,0.04955702049887162
10,0.43607547101303873,0.1229324667471515,Delaware,1,0.05360783333955881
11,0.443749061073554,0.1430318284867634,District of Columbia,1,0.06347023959463488
12,0.44608397496230356,0.1644374363878103,Florida,0,0.07335290525648536
13,0.4530856442041608,0.17788907532751305,Georgia,0,0.08059898629164874
15,0.43250106678372807,0.08857832793029911,Hawaii,1,0.038310221323773264
16,0.4270382434091546,0.12670566126663968,Idaho,0,0.05410816301730117
17,0.44105474912621806,0.1294997393078302,Illinois,1,0.05711647503232569
18,0.4426028884153037,0.14786545573199913,Indiana,1,0.06544567780382804
19,0.42877606059137957,0.09911171904085248,Iowa,1,0.04249673244877635
20,0.43958576629265267,0.12253914545096734,Kansas,0,0.0538664641539103
21,0.4408472572241564,0.1551312379494031,Kentucky,1,0.06838918075978231
22,0.45356546493224564,0.19111491066481343,Louisiana,0,0.08668312331117069
23,0.4341691851704824,0.1061190315708388,Maine,0,0.046073613468191776
24,0.4401956855740957,0.1099638535622247,Maryland,1,0.04840561390719297
25,0.431720772779549,0.1011416423648693,Massachusetts,1,0.04366494800195415
26,0.4368008106941077,0.1254627830514979,Michigan,1,0.054802245348833246
27,0.4376355763007842,0.08250191179894178,Minnesota,1,0.036105771716046356
28,0.45224859694783676,0.20698364787608867,Mississippi,0,0.09360806434310619
29,0.44227874558637104,0.13770400508114178,Missouri,0,0.06090355462950665
30,0.4340007831590552,0.12801019217792942,Montana,0,0.05555652365756253
31,0.43392881953664675,0.10923114244880523,Nebraska,0,0.04739854069944936
32,0.4397533127457506,0.1585020988672862,Nevada,1,0.06970182305404359
33,0.42943573037054816,0.07512806175823383,New Hampshire,1,0.03226267407247079
34,0.4468530131232017,0.12372163335775467,New Jersey,1,0.0552853846544367
35,0.4437329333986429,0.18472607427237617,New Mexico,1,0.08196904281209705
36,0.44424978339370924,0.1533322411819765,New York,1,0.06811781493236505
37,0.4454213993375616,0.15920596662166595,North Carolina,0,0.07091374443551157
38,0.4326782897886941,0.09595760759279615,North Dakota,1,0.04151877354546565
39,0.4399897336865361,0.1269007423564956,Ohio,1,0.05583502383405823
40,0.4392519358486889,0.1673396673977038,Oklahoma,0,0.07350427284871713
41,0.42892982012983333,0.1198760876520268,Oregon,1,0.05141842871445199
42,0.4396705388269904,0.12426929327804102,Pennsylvania,1,0.0546375471352056
44,0.44572262317143474,0.12881402785956236,Rhode Island,1,0.05741532639884241
45,0.4492606881922661,0.15855021480160109,South Carolina,0,0.07123037861479892
46,0.4589312541177206,0.12828302478016096,South Dakota,0,0.0588730894443739
47,0.4472810935455273,0.16032500951850817,Tennessee,0,0.0717103455801354
48,0.4489028455909963,0.19836806531146217,Texas,0,0.08904798899269598
49,0.4276983507979582,0.10356688548655688,Utah,0,0.04429538611988137
50,0.4247911377846994,0.08410458084281885,Vermont,1,0.03572688058912626
51,0.4404938514045669,0.12088248194886958,Virginia,0,0.0532479900410006
53,0.4299481678234702,0.10585088512403368,Washington,1,0.045510394121570895
54,0.43256518932566135,0.14299549705877249,West Virginia,1,0.06185487425794497
55,0.4363265755432785,0.09907600266627993,Wisconsin,0,0.043229492961894656
56,0.42997371226002706,0.09497583205796893,Wyoming,0,0.040837111084949786
